"","Name","FIDE.ID","Born","Birthplace","Died","Title.Year","Federation","Sex","Notes"
"384","Durarbayli, Vasif",13402935,"1992-02-24","Sumgait","",2010,"Azerbaijan","M","Di Felice; title application"
"385","Duras, Oldřich",NA,"1882-10-30","Prague","1957-01-05",1950,"Czecho­slovakia","M","Gaige; Di Felice"
"386","Dvirnyy, Danyyil",817570,"1990-10-21","Saint Petersburg","",2014,"Italy","M","Di Felice; title application"
"387","Dvoirys, Semen I.",4100379,"1958-11-02","Zhmerynka","",1990,"Russia","M","Di Felice"
"388","Dyachkov, Sergej",4119800,"1976-11-06","Saratov","",2004,"Russia","M","Di Felice"
"389","Dydyshko, Viacheslav",13500031,"1949-04-10","Minsk","",1995,"Belarus","M","Di Felice"
"390","Dzagnidze, Nana",13601903,"1987-01-01","Kutaisi","",2008,"Georgia","F","Di Felice; title application"
"391","Dzhakaev, Dzhakay",4136209,"1980-04-05","Makhachkala","",2006,"Russia","M","Di Felice"
"392","Dzhumaev, Marat",14200236,"1976-01-12","","",2001,"Uzbekistan","M","Di Felice"
"393","Dzindzi­chashvili, Roman",2000113,"1944-05-05","Tbilisi","",1977,"Soviet Union","M","Di Felice; later Israel; currently United States"
"394","Dziuba, Marcin",1112953,"1983-07-17","Zamość","",2007,"Poland","M","Di Felice; title application"
"395","Édouard, Romain",633429,"1990-11-28","Poitiers","",2009,"France","M","Di Felice; title application"
"396","Efimenko, Zahar",14107201,"1985-07-03","Makiivka","",2002,"Ukraine","M","Di Felice"
"397","Efimov, Igor",806404,"1960-09-16","Tbilisi","",1992,"Georgia","M","Di Felice; later Italy; currently Monaco"
"398","Ehlvest, Jaan",4500016,"1962-10-14","Tallinn","",1987,"Soviet Union","M","Di Felice; later Estonia; currently United States"
"399","Eingorn, Vereslav S.",14100053,"1956-11-23","Odessa","",1986,"Soviet Union","M","Di Felice; currently Ukraine"
"400","El Debs, Felipe de Cresce",2106981,"1985-01-29","São Carlos","",2010,"Brazil","M","Di Felice; title application"
"401","El Gindy, Essam",10600140,"1966-07-14","Cairo","",2008,"Egypt","M","Di Felice; title application"
"402","Eliseev, Urii",24131920,"1996-08-29","Moscow","2016-11-26",2013,"Russia","M","Di Felice; title application"
"403","Eliskases, Erich",NA,"1913-02-15","Innsbruck","1997-02-02",1952,"Argentina","M","Di Felice"
"404","Eljanov, Pavel",14102951,"1983-05-10","Kharkiv","",2001,"Ukraine","M","Di Felice"
"405","Emms, John M.",400254,"1967-03-14","","",1995,"England","M","Di Felice"
"406","Enchev, Ivajlo",2907712,"1989-09-05","Razgrad","",2018,"Bulgaria","M","title application"
"407","Enders, Peter",4611314,"1963-02-02","","",1997,"Germany","M","Di Felice"
"408","Engel, Luis",12961523,"2002-10-14","Hamburg","",2020,"Germany","M","title application"
"409","Epishin, Vladimir",4162714,"1965-07-11","Leningrad","",1990,"Soviet Union","M","Di Felice; currently Russia"
"410","Erdoğdu, Mert",6301495,"1979-03-30","Adana","",2017,"Turkey","M","title application"
"411","Erdős, Viktor",719978,"1987-09-02","Békéscsaba","",2007,"Hungary","M","Di Felice; title application"
"412","Erenburg, Sergey",2805642,"1983-01-27","","",2003,"Israel","M","Di Felice; currently United States"
"413","Erigaisi Arjun",35009192,"2003-09-03","Karimnagar","",2018,"India","M","title application"
"414","Ermenkov, Evgenij",2900106,"1949-09-29","Sofia","",1977,"Bulgaria","M","Di Felice"
"415","Ernst, Sipke",1004689,"1979-01-08","Damwâld","",2007,"Netherlands","M","Di Felice; title application"
"416","Ernst, Thomas",1700065,"1960-08-17","Uppsala","",1990,"Sweden","M","Di Felice"
"417","Eryomenko, Volodymyr",14109328,"1987-05-05","Odessa","",2009,"Ukraine","M","Di Felice; title application"
"418","Escobar Forero, Alder",4400801,"1977-03-11","Colombia","",2014,"Colombia","M","Di Felice; title application"
"419","Esen, Barış",6302114,"1986-11-03","Antalya","",2010,"Turkey","M","Di Felice; title application"
"420","Esipenko, Andrey",24175439,"2002-03-22","","",2018,"Russia","M","title application"
"421","Espig, Lutz",4611276,"1949-01-05","Greiz","",1983,"Germany","M","Di Felice"
"422","Espinosa Veloz, Ermes",3507424,"1987-07-30","Villa Clara Province","",2017,"Cuba","M","title application"
"423","Euwe, Max",NA,"1901-05-20","Water­graafsmeer","1981-11-26",1950,"Netherlands","M","Gaige; Di Felice"
"424","Evans, Larry",2000369,"1932-03-22","New York City","2010-11-15",1957,"United States","M","Di Felice"
"425","Evdokimov, Alexander A.",4139275,"1985-10-28","Astrakhan","",2005,"Russia","M","title application"
"426","Fang Yuxiang",8605840,"1996-02-29","Shanxi","",2017,"China","M","title application"
"427","Faragó, Iván",700134,"1946-04-01","Budapest","",1976,"Hungary","M","Di Felice"
